# HGNC gene id	# source ID
BRAF	HGNC
ELK1	HGNC
RAF1	HGNC
MAP2K1	HGNC
MAP2K2	HGNC
ATP1B1	HGNC
DNAJB1	HGNC
E2F6	HGNC
FOSL1	HGNC
FOSL2	HGNC
MYB	HGNC
RSPO1	HGNC
SOX1	HGNC
ATF3	HGNC
BACE2	HGNC
BRD4	HGNC
CREB1	HGNC
CA12	HGNC
COL4A1	HGNC
FAM19A5	HGNC
FZD10	HGNC
HSPA1B	HGNC
HNF4A	HGNC
HES2	HGNC
HOMER1	HGNC
IRF4	HGNC
KIF26B	HGNC
OAT	HGNC
PRKACA	HGNC
PRKACB	HGNC
RPS6KA2	HGNC
RPS9	HGNC
SLC16A14	HGNC
TESC	HGNC
TMEM163	HGNC
TNRC6C	HGNC
PNPT1	HGNC
BIRC8	HGNC
PGLYRP1	HGNC
TMEM140	HGNC
CD226	HGNC
CD302	HGNC
CD84	HGNC
TNFRSF12A	HGNC
AHR	HGNC
BCAM	HGNC
FOXP3	HGNC
INSR	HGNC
MYDGF	HGNC
IARS	HGNC
EFCAB7	HGNC
EVC2	HGNC
HYDIN	HGNC
IQCE	HGNC
NEK9	HGNC
RAB28	HGNC
RAB8A	HGNC
ARRB2	HGNC
CSNK1D	HGNC
C4ORF22	HGNC
C4ORF47	HGNC
C9ORF116	HGNC
CFAP100	HGNC
CFAP57	HGNC
CCDC113	HGNC
CCDC170	HGNC
CCDC63	HGNC
ENKD1	HGNC
ENKUR	HGNC
IFT122	HGNC
IFT57	HGNC
IFT80	HGNC
IFT81	HGNC
LEFTY2	HGNC
NODAL	HGNC
OPRM1	HGNC
PIN1	HGNC
PKD1	HGNC
PKD2	HGNC
SERPINE2	HGNC
SPAG17	HGNC
STPG2	HGNC
TEKT1	HGNC
TRPM2	HGNC
TRPM3	HGNC
UBC	HGNC
ZMYND12	HGNC
AAK1	HGNC
CCR4	HGNC
CCR6	HGNC
CD38	HGNC
ENTPD1	HGNC
HACD3	HGNC
CTBP2	HGNC
CXADR	HGNC
RAB1B	HGNC
SMARCB1	HGNC
VPS37B	HGNC
CHMP1A	HGNC
CHMP3	HGNC
CHMP5	HGNC
CCNK	HGNC
DAG1	HGNC
GSN	HGNC
IST1	HGNC
ITGB6	HGNC
NUCKS1	HGNC
NUP160	HGNC
NUP98	HGNC
PPIB	HGNC
UBP1	HGNC
BSG	HGNC
IGSF9	HGNC
AVL9	HGNC
GNG13	HGNC
NSF	HGNC
PATJ	HGNC
RAB2A	HGNC
RAB5A	HGNC
ARHGAP9	HGNC
VPS16	HGNC
VPS18	HGNC
VPS33A	HGNC
VPS39	HGNC
VPS41	HGNC
VPS8	HGNC
APBA3	HGNC
CASC1	HGNC
CTSB	HGNC
CSGALNACT2	HGNC
DOCK4	HGNC
LGALS8	HGNC
IL17REL	HGNC
INA	HGNC
KLHDC10	HGNC
LYPLA1	HGNC
HLA-DPB1	HGNC
MS4A4A	HGNC
NR3C1	HGNC
OR4C6	HGNC
OR4F15	HGNC
OR5M8	HGNC
OR51E1	HGNC
OR51Q1	HGNC
OR52N1	HGNC
OR8D1	HGNC
PPY	HGNC
PXN	HGNC
PIGA	HGNC
PIGW	HGNC
RHOB	HGNC
SCAMP5	HGNC
SYNJ2BP	HGNC
TAS2R45	HGNC
TVP23A	HGNC
TGFBRAP1	HGNC
SCAF11	HGNC
CASP12	HGNC
CASP8	HGNC
CASP9	HGNC
NDUFB11	HGNC
CYB5A	HGNC
CKAP4	HGNC
DNM1	HGNC
FIS1	HGNC
KTN1	HGNC
REEP5	HGNC
TCHP	HGNC
CDC5L	HGNC
TNFRSF4	HGNC
TNFRSF9	HGNC
IFNGR1	HGNC
IL6R	HGNC
PARD6A	HGNC
PYHIN1	HGNC
THEMIS	HGNC
FCER1G	HGNC
IFNL1	HGNC
IL13RA2	HGNC
IL18R1	HGNC
IL25	HGNC
IL4R	HGNC
PLA2G2A	HGNC
PLA2G10	HGNC
MPEG1	HGNC
MUC16	HGNC
MUC19	HGNC
MUC2	HGNC
CCDC9	HGNC
KDM8	HGNC
CCDC92	HGNC
IGBP1	HGNC
IGHA1	HGNC
ACTR8	HGNC
CTCF	HGNC
INO80	HGNC
INO80B	HGNC
INO80C	HGNC
RUVBL1	HGNC
RUVBL2	HGNC
TERF2IP	HGNC
APOBEC3F	HGNC
BAZ1A	HGNC
